,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
450,Ultraman: Rising,tt9471678,Ultraman: Rising,Yes,2024-06-14,13000000,2:01,6400000,Ultraman: Rising,2024.0,movie,Ultraman: Rising,Ultraman: Rising,2024,117,"Action,Adventure,Animation"
446,Ocean's Eleven,tt0240772,Ocean's Eleven (2001),No,,12500000,1:57,6400000,Ocean's Eleven,2001.0,movie,Ocean's Eleven,Ocean's Eleven,2001,116,"Crime,Thriller"
444,Hit Man,tt20215968,Hit Man,No,2024-06-07,12400000,1:56,6400000,Hit Man,2024.0,movie,Hit Man,Hit Man,2023,115,"Comedy,Crime,Romance"
448,The Age of Adaline,tt1655441,The Age of Adaline,No,,12100000,1:53,6400000,The Age of Adaline,1000.0,movie,The Age of Adaline,The Age of Adaline,2015,112,"Drama,Fantasy,Romance"
441,A Perfect Pairing,tt15215512,A Perfect Pairing,Yes,2022-05-19,11000000,1:43,6400000,A Perfect Pairing,2022.0,movie,A Perfect Pairing,A Perfect Pairing,2022,101,"Comedy,Romance"
463,Transformers: Age of Extinction,tt2109248,Transformers: Age of Extinction,No,,17600000,2:47,6300000,Transformers: Age of Extinction,1000.0,movie,Transformers: Age of Extinction,Transformers: Age of Extinction,2014,165,"Action,Adventure,Comedy"
454,Harry Potter and the Chamber of Secrets,tt0295297,Harry Potter and the Chamber of Secrets,No,,16900000,2:41,6300000,Harry Potter and the Chamber of Secrets,1000.0,movie,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,2002,161,"Adventure,Family,Fantasy"
17,Gran Turismo: Based on a True Story,tt4495098,Gran Turismo: Based on a True Story,No,,14000000,2:14,6300000,Gran Turismo: Based on a True Story,1000.0,movie,Gran Turismo,Gran Turismo,2023.0,134.0,"Action,Adventure,Drama"
460,Spirited Away,tt0245429,Spirited Away // ________,No,,13200000,2:05,6300000,Spirited Away,1000.0,movie,Spirited Away,Sen to Chihiro no kamikakushi,2001,124,"Adventure,Animation,Family"
456,Law Abiding Citizen,tt1197624,Law Abiding Citizen,No,,11400000,1:49,6300000,Law Abiding Citizen,1000.0,movie,Law Abiding Citizen,Law Abiding Citizen,2009,109,"Action,Crime,Drama"
452,Fear Street Part 1: 1994,tt6566576,Fear Street Part 1: 1994,Yes,2021-07-02,11200000,1:47,6300000,Fear Street Part 1: 1994,2021.0,movie,Fear Street: Part One - 1994,Fear Street: 1994,2021,107,"Drama,Horror,Mystery"
455,Infinite,tt6654210,Infinite,No,,11200000,1:46,6300000,Infinite,1000.0,movie,Infinite,Infinite,2021,106,"Action,Sci-Fi,Thriller"
459,Secret Magic Control Agency,tt13932162,Secret Magic Control Agency,No,2021-03-25,11000000,1:45,6300000,Secret Magic Control Agency,2021.0,movie,Secret Magic Control Agency,"Hansel, Gretel i Agentstvo Magii",2021,103,"Adventure,Animation,Comedy"
462,The Pope's Exorcist,tt13375076,The Pope's Exorcist,No,,11000000,1:44,6300000,The Pope's Exorcist,1000.0,movie,The Pope's Exorcist,The Pope's Exorcist,2023,103,"Horror,Thriller"
464,Uncle Drew,tt7334528,Uncle Drew,No,,10900000,1:43,6300000,Uncle Drew,1000.0,movie,Uncle Drew,Uncle Drew,2018,103,"Comedy,Drama,Sport"
461,The Expendables 4,tt3291150,The Expendables 4,No,,10800000,1:43,6300000,The Expendables 4,1000.0,movie,The Expendables 4,Expend4bles,2023,103,"Action,Adventure,Thriller"
16,Faith in the Impossible,tt32282525,Faith in the Impossible // F Para o Impossvel,Yes,,10500000,1:40,6300000,Faith in the Impossible,1000.0,movie,Fé para o Impossível,Fé para o Impossível,2025.0,100.0,"Biography,Drama"
18,Pokmon: Mewtwo Strikes Back - Evolution,tt8856470,Pokmon: Mewtwo Strikes Back - Evolution // ________ EVOLUTION,Yes,2020-02-27,10300000,1:38,6300000,Pokmon: Mewtwo Strikes Back - Evolution,2020.0,movie,Pokémon: Mewtwo Strikes Back - Evolution,Gekijô-ban poketto monsutâ: Myûtsû no gyakushû Evolution,2019.0,98.0,"Action,Animation,Family"
458,Richie Rich,tt0110989,Richie Rich (1994),No,,9800000,1:34,6300000,Richie Rich,1994.0,movie,Richie Rich,Ri¢hie Ri¢h,1994,95,"Comedy,Family"
468,Spider-Man,tt0145487,Spider-Man (2002),No,,12600000,2:01,6200000,Spider-Man,2002.0,movie,Spider-Man,Spider-Man,2002,121,"Action,Adventure,Sci-Fi"
465,Grease,tt0077631,Grease,No,,11400000,1:51,6200000,Grease,1000.0,movie,Grease,Grease,1978,110,"Comedy,Musical,Romance"
472,You Gotta Believe,tt15685360,You Gotta Believe,No,,10800000,1:44,6200000,You Gotta Believe,1000.0,movie,You Gotta Believe,You Gotta Believe,2024,104,"Drama,Family,Sport"
466,Grown Ups,tt1375670,Grown Ups (2010),No,,10700000,1:43,6200000,Grown Ups,2010.0,movie,Grown Ups,Grown Ups,2010,102,Comedy
469,The Black Phone,tt7144666,The Black Phone,No,,10700000,1:43,6200000,The Black Phone,1000.0,movie,The Black Phone,The Black Phone,2021,103,"Horror,Mystery,Thriller"
470,The Mule,tt7959026,The Mule (2018),No,,10600000,1:42,6200000,The Mule,2018.0,movie,The Mule,The Mule,2018,116,"Crime,Drama,Thriller"
471,The Willoughbys,tt5206260,The Willoughbys,Yes,2020-04-22,9600000,1:33,6200000,The Willoughbys,2020.0,movie,The Willoughbys,The Willoughbys,2020,90,"Adventure,Animation,Comedy"
467,Octonauts & the Ring of Fire,tt13779166,Octonauts & the Ring of Fire,Yes,2021-03-30,7600000,1:13,6200000,Octonauts & the Ring of Fire,2021.0,movie,Octonauts: The Ring of Fire,Octonauts: The Ring of Fire,2021,72,Animation
475,Cast Away,tt0162222,Cast Away (2000),No,,14600000,2:24,6100000,Cast Away,2000.0,movie,Cast Away,Cast Away,2000,143,"Adventure,Drama,Romance"
481,Luther: The Fallen Sun,tt3155298,Luther: The Fallen Sun,Yes,2023-03-10,13400000,2:11,6100000,Luther: The Fallen Sun,2023.0,movie,Luther: The Fallen Sun,Luther: The Fallen Sun,2023,129,"Action,Crime,Drama"
483,Sicario: Day of the Soldado,tt5052474,Sicario: Day of the Soldado,No,,12400000,2:02,6100000,Sicario: Day of the Soldado,1000.0,movie,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018,122,"Action,Crime,Drama"
476,Constantine,tt0360486,Constantine (2005),No,,12300000,2:01,6100000,Constantine,2005.0,movie,Constantine,Constantine,2005,121,"Action,Fantasy,Horror"
484,The Heartbreak Kid,tt0408839,The Heartbreak Kid (2007),No,,11800000,1:56,6100000,The Heartbreak Kid,2007.0,movie,The Heartbreak Kid,The Heartbreak Kid,2007,116,"Comedy,Romance"
474,365 Days: This Day,tt12996154,365 Days: This Day,Yes,2022-04-27,11300000,1:52,6100000,365 Days: This Day,2022.0,movie,365 Days: This Day,365 Days: This Day,2022,111,"Drama,Romance"
477,Family Switch,tt14227048,Family Switch,Yes,2023-11-30,10800000,1:46,6100000,Family Switch,2023.0,movie,Family Switch,Family Switch,2023,106,"Comedy,Family,Fantasy"
480,Little Siberia,tt31828346,Little Siberia // Pikku Siperia,Yes,2025-03-21,10800000,1:47,6100000,Little Siberia,2025.0,movie,Little Siberia,Pikku Siperia,2025,105,"Comedy,Drama,Thriller"
478,Focus,tt2381941,Focus (2015),No,,10600000,1:45,6100000,Focus,2015.0,movie,Focus,Focus,2015,105,"Comedy,Crime,Drama"
473,13 Going on 30,tt0337563,13 Going on 30,No,,9900000,1:38,6100000,13 Going on 30,1000.0,movie,13 Going on 30,13 Going on 30,2004,98,"Comedy,Fantasy,Romance"
479,He's All That,tt4590256,He's All That,Yes,2021-08-27,9300000,1:32,6100000,He's All That,2021.0,movie,He's All That,He's All That,2021,88,"Comedy,Romance"
482,Robinson Crusoe,tt0117496,Robinson Crusoe (1997),No,,9200000,1:31,6100000,Robinson Crusoe,1997.0,movie,Robinson Crusoe,Robinson Crusoe,1997,105,"Adventure,Drama"
488,Django Unchained,tt1853728,Django Unchained,No,,16600000,2:46,6000000,Django Unchained,1000.0,movie,Django Unchained,Django Unchained,2012,165,"Drama,Western"
491,Into the Fire: The Lost Daughter: Season 1,tt33163756,Into the Fire: The Lost Daughter: Season 1,Yes,2024-09-12,15200000,2:32,6000000,Into the Fire: The Lost Daughter: Season 1,2024.0,tvMiniSeries,Into the Fire: The Lost Daughter,Into the Fire: The Lost Daughter,2024,151,"Crime,Documentary"
487,Den of Thieves,tt1259528,Den of Thieves,No,,13900000,2:20,6000000,Den of Thieves,1000.0,movie,Den of Thieves,Den of Thieves,2018,140,"Action,Crime,Drama"
489,Fast Five,tt1596343,Fast Five,No,,13000000,2:10,6000000,Fast Five,1000.0,movie,Fast Five,Fast Five,2011,130,"Action,Crime,Thriller"
494,Terminator: Dark Fate,tt6450804,Terminator: Dark Fate,No,,12800000,2:09,6000000,Terminator: Dark Fate,1000.0,movie,Terminator: Dark Fate,Terminator: Dark Fate,2019,128,"Action,Adventure,Sci-Fi"
493,SAS: Rise of the Black Swan,tt4479380,SAS: Rise of the Black Swan,No,2021-08-27,12600000,2:05,6000000,SAS: Rise of the Black Swan,2021.0,movie,SAS: Rise of the Black Swan,SAS: Red Notice,2021,124,Action
486,Bird Box,tt2737304,Bird Box,Yes,2018-12-21,12300000,2:04,6000000,Bird Box,2018.0,movie,Bird Box,Bird Box,2018,124,"Horror,Mystery,Sci-Fi"
485,A Fall from Grace,tt11390036,A Fall from Grace,Yes,2020-01-17,12100000,2:01,6000000,A Fall from Grace,2020.0,movie,A Fall from Grace,A Fall from Grace,2020,120,"Crime,Drama,Mystery"
490,How It Ends,tt5246700,How It Ends,Yes,2018-07-13,11300000,1:53,6000000,How It Ends,2018.0,movie,How It Ends,How It Ends,2018,113,"Action,Drama,Horror"
495,The Angry Birds Movie,tt1985949,The Angry Birds Movie,No,,9800000,1:38,6000000,The Angry Birds Movie,1000.0,movie,The Angry Birds Movie,The Angry Birds Movie,2016,97,"Action,Adventure,Animation"
496,Watcher,tt12004038,Watcher (2022),No,,9600000,1:36,6000000,Watcher,2022.0,movie,Watcher,Watcher,2022,96,"Drama,Horror,Mystery"
492,Monster House,tt0385880,Monster House (2006),No,,9100000,1:31,6000000,Monster House,2006.0,movie,Monster House,Monster House,2006,91,"Animation,Comedy,Family"
505,Primal Fear,tt0117381,Primal Fear,No,,12800000,2:11,5900000,Primal Fear,1000.0,movie,Primal Fear,Primal Fear,1996,129,"Crime,Drama,Mystery"
502,Godzilla Minus One,tt23289160,Godzilla Minus One // ___-1.0,No,,12400000,2:06,5900000,Godzilla Minus One,1000.0,movie,Godzilla Minus One,Gojira Mainasu Wan,2023,124,"Action,Adventure,Drama"
497,Burlesque,tt1126591,Burlesque (2010),No,,11700000,1:59,5900000,Burlesque,2010.0,movie,Burlesque,Burlesque,2010,119,"Drama,Music,Musical"
498,Burlesque,tt1586713,Burlesque (2010),No,,11700000,1:59,5900000,Burlesque,2010.0,movie,Burlesque,Burlesque,2010,90,Drama
506,The Do-Over,tt4769836,The Do-Over,Yes,2016-05-27,10800000,1:49,5900000,The Do-Over,2016.0,movie,The Do-Over,The Do-Over,2016,108,"Action,Adventure,Comedy"
500,Code 8 Part II,tt14764464,Code 8 Part II,Yes,2024-02-28,9900000,1:40,5900000,Code 8 Part II,2024.0,movie,Code 8: Part II,Code 8: Part II,2024,100,"Action,Crime,Drama"
503,Legion,tt1038686,Legion (2010),No,,9900000,1:40,5900000,Legion,2010.0,movie,Legion,Legion,2010,100,"Action,Fantasy,Horror"
504,Mean Girls,tt0377092,Mean Girls (2004),No,,9600000,1:37,5900000,Mean Girls,2004.0,movie,Mean Girls,Mean Girls,2004,97,Comedy
499,Camp Crasher,tt29368988,Camp Crasher // Campamento con mam,Yes,2024-12-06,9400000,1:36,5900000,Camp Crasher,2024.0,movie,Camp Crasher,Campamento con mamá,2024,95,Comedy
501,Due Date,tt1231583,Due Date,No,,9400000,1:35,5900000,Due Date,1000.0,movie,Due Date,Due Date,2010,95,"Comedy,Drama"
508,The Last Stop in Yuma County,tt11674730,The Last Stop in Yuma County,No,,9000000,1:31,5900000,The Last Stop in Yuma County,1000.0,movie,The Last Stop in Yuma County,The Last Stop in Yuma County,2023,90,"Crime,Drama,Thriller"
507,The Guilty,tt9421570,The Guilty,Yes,2021-10-01,8900000,1:31,5900000,The Guilty,2021.0,movie,The Guilty,The Guilty,2021,90,"Crime,Drama,Thriller"
513,Harry Potter and the Prisoner of Azkaban,tt0304141,Harry Potter and the Prisoner of Azkaban,No,,13800000,2:22,5800000,Harry Potter and the Prisoner of Azkaban,1000.0,movie,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure,Family,Fantasy"
511,Enola Holmes,tt7846844,Enola Holmes,Yes,2020-09-23,12000000,2:04,5800000,Enola Holmes,2020.0,movie,Enola Holmes,Enola Holmes,2020,123,"Adventure,Crime,Drama"
516,Rebel Moon Ñ Part Two: The Scargiver,tt23137904,Rebel Moon Ñ Part Two: The Scargiver,Yes,2024-04-19,11900000,2:04,5800000,Rebel Moon Ñ Part Two: The Scargiver,2024.0,movie,Rebel Moon - Part Two: The Scargiver,Rebel Moon - Part Two: The Scargiver,2024,122,"Action,Adventure,Drama"
515,HowlÕs Moving Castle,tt0347149,HowlÕs Moving Castle // _______,No,,11600000,2:00,5800000,HowlÕs Moving Castle,1000.0,movie,Howl's Moving Castle,Hauru no ugoku shiro,2004,119,"Adventure,Animation,Family"
520,The Other Boleyn Girl,tt0467200,The Other Boleyn Girl (2008),No,,11100000,1:55,5800000,The Other Boleyn Girl,2008.0,movie,The Other Boleyn Girl,The Other Boleyn Girl,2008,115,"Biography,Drama,History"
518,The Fast and the Furious,tt0232500,The Fast and the Furious,No,,10300000,1:46,5800000,The Fast and the Furious,1000.0,movie,The Fast and the Furious,The Fast and the Furious,2001,106,"Action,Crime,Thriller"
514,How the Grinch Stole Christmas,tt0170016,How the Grinch Stole Christmas,No,,10100000,1:44,5800000,How the Grinch Stole Christmas,1000.0,movie,How the Grinch Stole Christmas,How the Grinch Stole Christmas,2000,104,"Comedy,Family,Fantasy"
517,Sosyal Climbers,tt35624097,Sosyal Climbers,Yes,2025-02-27,10100000,1:44,5800000,Sosyal Climbers,2025.0,movie,Sosyal Climbers,Sosyal Climbers,2025,102,"Comedy,Romance"
509,Cheers to Life,tt26849593,Cheers to Life // Viva a Vida,No,2025-06-11,10000000,1:43,5800000,Cheers to Life,2025.0,movie,Cheers to Life,Viva a Vida,2024,104,"Comedy,Drama"
519,The Hating Game,tt8718158,The Hating Game,No,,9900000,1:43,5800000,The Hating Game,1000.0,movie,The Hating Game,The Hating Game,2021,102,"Comedy,Romance"
512,Fractured,tt4332232,Fractured,Yes,2019-10-11,9600000,1:40,5800000,Fractured,2019.0,movie,Fractured,Fractured,2019,99,"Drama,Mystery,Thriller"
510,Cold Blood Legacy,tt9082020,Cold Blood Legacy,No,,8500000,1:28,5800000,Cold Blood Legacy,1000.0,movie,Cold Blood,Cold Blood Legacy,2019,91,"Action,Thriller"
530,Thandel,tt27907811,Thandel,No,,14100000,2:28,5700000,Thandel,1000.0,movie,Thandel,Thandel,2025,152,"Action,Adventure,Romance"
524,Champions,tt15339570,Champions (2023),No,,11700000,2:04,5700000,Champions,2023.0,movie,Champions,Champions,2023,124,"Comedy,Drama,Sport"
525,Deep Impact,tt0120647,Deep Impact,No,,11600000,2:02,5700000,Deep Impact,1000.0,movie,Deep Impact,Deep Impact,1998,120,"Action,Drama,Sci-Fi"
531,The Internship,tt2234155,The Internship,No,,11400000,1:59,5700000,The Internship,1000.0,movie,The Internship,The Internship,2013,119,Comedy
523,Baby Driver,tt3890160,Baby Driver,No,,10800000,1:53,5700000,Baby Driver,1000.0,movie,Baby Driver,Baby Driver,2017,113,"Action,Crime,Drama"
528,Jack the Giant Slayer,tt1351685,Jack the Giant Slayer,No,,10800000,1:54,5700000,Jack the Giant Slayer,1000.0,movie,Jack the Giant Slayer,Jack the Giant Slayer,2013,114,"Action,Adventure,Fantasy"
522,American Assassin,tt1961175,American Assassin,No,,10600000,1:52,5700000,American Assassin,1000.0,movie,American Assassin,American Assassin,2017,111,"Action,Thriller"
526,Don't Let Go,tt6803212,Don't Let Go (2019),No,,9900000,1:44,5700000,Don't Let Go,2019.0,movie,Don't Let Go,Don't Let Go,2019,103,"Drama,Horror,Mystery"
529,Knock at the Cabin,tt15679400,Knock at the Cabin,No,,9500000,1:40,5700000,Knock at the Cabin,1000.0,movie,Knock at the Cabin,Knock at the Cabin,2023,100,"Horror,Mystery,Thriller"
527,Home Team,tt14592064,Home Team,Yes,2022-01-28,9400000,1:39,5700000,Home Team,2022.0,movie,Home Team,Home Team,2022,95,"Comedy,Drama,Sport"
532,Wrath of the Titans,tt1646987,Wrath of the Titans,No,,9400000,1:39,5700000,Wrath of the Titans,1000.0,movie,Wrath of the Titans,Wrath of the Titans,2012,99,"Action,Adventure,Fantasy"
521,Alvin and the Chipmunks: The Squeakquel,tt1231580,Alvin and the Chipmunks: The Squeakquel,No,,8500000,1:29,5700000,Alvin and the Chipmunks: The Squeakquel,1000.0,movie,Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,2009,88,"Adventure,Animation,Comedy"
533,Azaad,tt26439870,Azaad // ____,Yes,,12700000,2:16,5600000,Azaad,1000.0,movie,Azaad,Azaad,2025,147,"Adventure,Drama"
535,Jack,tt28622758,Jack (2025),Yes,,12400000,2:13,5600000,Jack,2025.0,movie,Jack,Jack,2025,133,"Action,Comedy,Crime"
537,Sisters,tt4793074,Sisters (2015),No,,11000000,1:58,5600000,Sisters,2015.0,movie,Sisters,Sisters,2015,53,"Biography,Documentary,Music"
538,Sisters,tt1850457,Sisters (2015),No,,11000000,1:58,5600000,Sisters,2015.0,movie,Sisters,Sisters,2015,118,Comedy
534,Forgetting Sarah Marshall,tt0800039,Forgetting Sarah Marshall,No,,10300000,1:51,5600000,Forgetting Sarah Marshall,1000.0,movie,Forgetting Sarah Marshall,Forgetting Sarah Marshall,2008,111,"Comedy,Drama,Romance"
541,Your Place or Mine,tt12823454,Your Place or Mine,Yes,2023-02-10,10300000,1:51,5600000,Your Place or Mine,2023.0,movie,Your Place or Mine,Your Place or Mine,2023,109,"Comedy,Romance"
536,Ride Along 2,tt2869728,Ride Along 2,No,,9600000,1:42,5600000,Ride Along 2,1000.0,movie,Ride Along 2,Ride Along 2,2016,102,"Action,Comedy,Crime"
539,The Platform 2,tt27729779,The Platform 2 // El hoyo 2,Yes,2024-10-04,9400000,1:41,5600000,The Platform 2,2024.0,movie,The Platform 2,El hoyo 2,2024,99,"Horror,Sci-Fi,Thriller"
540,The Quilters,tt32165461,The Quilters,Yes,2025-05-16,3200000,0:34,5600000,The Quilters,2025.0,short,The Quilters,The Quilters,2024,33,"Documentary,Short"
554,Scent of a Woman,tt0105323,Scent of a Woman (1992),No,,14400000,2:36,5500000,Scent of a Woman,1992.0,movie,Scent of a Woman,Scent of a Woman,1992,156,Drama
544,Emergency,tt21279420,Emergency // ________,Yes,,13400000,2:25,5500000,Emergency,1000.0,movie,Emergency,Emergency,2025,146,"Biography,Drama,History"
546,In Youth We Trust,tt35047753,In Youth We Trust // ________ 2544,Yes,,12100000,2:12,5500000,In Youth We Trust,1000.0,movie,In Youth We Trust,In Youth We Trust,2024,132,"Crime,Drama"
545,Enola Holmes 2,tt14641788,Enola Holmes 2,Yes,2022-11-04,11900000,2:11,5500000,Enola Holmes 2,2022.0,movie,Enola Holmes 2,Enola Holmes 2,2022,129,"Action,Adventure,Crime"
543,Bumblebee,tt4701182,Bumblebee,No,,10600000,1:55,5500000,Bumblebee,1000.0,movie,Bumblebee,Bumblebee,2018,114,"Action,Adventure,Sci-Fi"
555,Sweet Girl,tt10731768,Sweet Girl,Yes,2021-08-20,10100000,1:50,5500000,Sweet Girl,2021.0,movie,Sweet Girl,Sweet Girl,2021,110,"Action,Drama,Thriller"
548,Kate,tt7737528,Kate,Yes,2021-09-10,9800000,1:46,5500000,Kate,2021.0,movie,Kate,Kate,2021,106,"Action,Adventure,Crime"
549,Maid in Manhattan,tt0252076,Maid in Manhattan,No,,9700000,1:45,5500000,Maid in Manhattan,1000.0,movie,Maid in Manhattan,Maid in Manhattan,2002,105,"Comedy,Drama,Romance"
556,The Back-Up Plan,tt3609088,The Back-Up Plan,No,,9600000,1:44,5500000,The Back-Up Plan,1000.0,short,The Backup Plan,The Backup Plan,2014,18,"Drama,Romance,Short"
542,Barbarian,tt15791034,Barbarian,No,,9500000,1:44,5500000,Barbarian,1000.0,movie,Barbarian,Barbarian,2022,102,"Horror,Mystery,Thriller"
557,The Monkey King,tt8637498,The Monkey King,Yes,2023-08-18,8900000,1:37,5500000,The Monkey King,2023.0,movie,The Monkey King,The Monkey King,2023,97,"Action,Adventure,Animation"
547,Intrusion,tt5563324,Intrusion,Yes,2021-09-22,8600000,1:34,5500000,Intrusion,2021.0,movie,Intrusion,Intrusion,2021,92,"Action,Drama,Mystery"
550,Monster High 2,tt23026954,Monster High 2,No,,8600000,1:34,5500000,Monster High 2,1000.0,tvMovie,Monster High 2,Monster High 2,2023,93,"Action,Adventure,Fantasy"
551,Mr. Peabody & Sherman,tt0864835,Mr. Peabody & Sherman,No,,8500000,1:33,5500000,Mr. Peabody & Sherman,1000.0,movie,Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014,92,"Adventure,Animation,Comedy"
552,My Little Pony: A New Generation,tt10101702,My Little Pony: A New Generation,Yes,2021-09-24,8300000,1:31,5500000,My Little Pony: A New Generation,2021.0,movie,My Little Pony: A New Generation,My Little Pony: A New Generation,2021,90,"Adventure,Animation,Comedy"
553,Proud Mary,tt6421110,Proud Mary,No,,8100000,1:29,5500000,Proud Mary,1000.0,movie,Proud Mary,Proud Mary,2018,89,"Action,Crime,Drama"
562,Madame Web,tt11057302,Madame Web,No,,10500000,1:56,5400000,Madame Web,1000.0,movie,Madame Web,Madame Web,2024,116,"Action,Thriller"
561,Knights of the Zodiac,tt6528290,Knights of the Zodiac,No,,10000000,1:52,5400000,Knights of the Zodiac,1000.0,movie,Knights of the Zodiac,Knights of the Zodiac,2023,112,"Action,Adventure,Drama"
558,2 Fast 2 Furious,tt0322259,2 Fast 2 Furious,No,,9700000,1:48,5400000,2 Fast 2 Furious,1000.0,movie,2 Fast 2 Furious,2 Fast 2 Furious,2003,107,"Action,Crime,Thriller"
563,The Predator,tt3829266,The Predator,No,,9700000,1:48,5400000,The Predator,1000.0,movie,The Predator,The Predator,2018,107,"Action,Adventure,Sci-Fi"
560,IT'S WHAT'S INSIDE,tt14577874,IT'S WHAT'S INSIDE,Yes,2024-10-04,9500000,1:45,5400000,IT'S WHAT'S INSIDE,2024.0,movie,It's What's Inside,It's What's Inside,2024,103,"Comedy,Mystery,Sci-Fi"
559,Close,tt5316540,Close,No,2019-01-18,8600000,1:35,5400000,Close,2019.0,movie,Close,Close,2019,94,"Action,Drama,Thriller"
570,John Wick: Chapter 4,tt10366206,John Wick: Chapter 4,No,,14900000,2:49,5300000,John Wick: Chapter 4,1000.0,movie,John Wick: Chapter 4,John Wick: Chapter 4,2023,169,"Action,Crime,Thriller"
571,Jurassic World: Dominion,tt8041270,Jurassic World: Dominion,No,,12900000,2:27,5300000,Jurassic World: Dominion,1000.0,movie,Jurassic World: Dominion,Jurassic World: Dominion,2022,147,"Action,Adventure,Sci-Fi"
576,The Hunger Games: Catching Fire,tt1951264,The Hunger Games: Catching Fire,No,,12900000,2:26,5300000,The Hunger Games: Catching Fire,1000.0,movie,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013,146,"Action,Adventure,Sci-Fi"
573,Mortal Engines,tt1571234,Mortal Engines,No,,11200000,2:08,5300000,Mortal Engines,1000.0,movie,Mortal Engines,Mortal Engines,2018,128,"Action,Adventure,Fantasy"
578,The Town,tt0840361,The Town (2010),No,,11100000,2:05,5300000,The Town,2010.0,movie,The Town,The Town,2010,125,"Crime,Drama,Thriller"
565,Freedom Writers,tt0463998,Freedom Writers,No,,11000000,2:04,5300000,Freedom Writers,1000.0,movie,Freedom Writers,Freedom Writers,2007,123,"Biography,Crime,Drama"
574,Rob Peace,tt10740926,Rob Peace,No,,10500000,2:00,5300000,Rob Peace,1000.0,movie,Rob Peace,Rob Peace,2024,120,"Biography,Drama"
566,Frozen Hot Boys,tt35669015,Frozen Hot Boys // _____________,Yes,2025-04-10,10400000,1:58,5300000,Frozen Hot Boys,2025.0,movie,Frozen Hot Boys,Kaeng Hima Deuxd,2025,117,"Comedy,Drama,Sport"
567,Ghostbusters: Frozen Empire,tt21235248,Ghostbusters: Frozen Empire,No,,10200000,1:55,5300000,Ghostbusters: Frozen Empire,1000.0,movie,Ghostbusters: Frozen Empire,Ghostbusters: Frozen Empire,2024,115,"Adventure,Comedy,Fantasy"
577,The Kissing Booth 3,tt12783454,The Kissing Booth 3,Yes,2021-08-11,10100000,1:54,5300000,The Kissing Booth 3,2021.0,movie,The Kissing Booth 3,The Kissing Booth 3,2021,112,"Comedy,Romance"
575,Senior Year,tt5315212,Senior Year,Yes,2022-05-13,10000000,1:54,5300000,Senior Year,2022.0,movie,Senior Year,Senior Year,2022,111,"Comedy,Drama"
568,Grenfell: Uncovered,tt37024060,Grenfell: Uncovered,Yes,2025-06-20,8900000,1:41,5300000,Grenfell: Uncovered,2025.0,movie,Grenfell: Uncovered,Grenfell Uncovered,2025,100,Documentary
572,London Has Fallen,tt3300542,London Has Fallen,No,,8700000,1:39,5300000,London Has Fallen,1000.0,movie,London Has Fallen,London Has Fallen,2016,99,"Action,Thriller"
569,Heart Eyes,tt32558992,Heart Eyes,No,,8600000,1:37,5300000,Heart Eyes,1000.0,movie,Heart Eyes,Heart Eyes,2025,97,"Comedy,Horror,Mystery"
564,Daddy Day Care,tt0317303,Daddy Day Care,No,,8200000,1:33,5300000,Daddy Day Care,1000.0,movie,Daddy Day Care,Daddy Day Care,2003,92,"Comedy,Family"
579,What Jennifer Did,tt31747163,What Jennifer Did,Yes,2024-04-10,7700000,1:27,5300000,What Jennifer Did,2024.0,movie,What Jennifer Did,What Jennifer Did,2024,87,"Crime,Documentary"
590,Transformers: Revenge of the Fallen,tt1055369,Transformers: Revenge of the Fallen,No,,13200000,2:31,5200000,Transformers: Revenge of the Fallen,1000.0,movie,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,2009,149,"Action,Adventure,Sci-Fi"
589,Transformers,tt0418279,Transformers (2007),No,,12500000,2:24,5200000,Transformers,2007.0,movie,Transformers,Transformers,2007,144,"Action,Adventure,Sci-Fi"
583,Mr. & Mrs. Smith,tt0356910,Mr. & Mrs. Smith (2005),No,,10400000,2:00,5200000,Mr. & Mrs. Smith,2005.0,movie,Mr. & Mrs. Smith,Mr. & Mrs. Smith,2005,120,"Action,Comedy,Crime"
580,Annie,tt1823664,Annie (2014),No,,10300000,1:59,5200000,Annie,2014.0,movie,Annie,Annie,2014,118,"Comedy,Drama,Family"
581,Heart of Champions,tt10314548,Heart of Champions,No,,10300000,1:59,5200000,Heart of Champions,1000.0,movie,Heart of Champions,Heart of Champions,2021,119,"Drama,Sport"
587,The Founder,tt4276820,The Founder (2016),No,,9900000,1:55,5200000,The Founder,2016.0,movie,The Founder,The Founder,2016,115,"Biography,Drama"
588,The Next 365 Days,tt21106646,The Next 365 Days,Yes,2022-08-19,9900000,1:54,5200000,The Next 365 Days,2022.0,movie,The Next 365 Days,The Next 365 Days,2022,112,"Drama,Romance"
