,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
1531,Return of the King: The Fall and Rise of Elvis Presley,tt34139335,Return of the King: The Fall and Rise of Elvis Presley,Yes,2024-11-13,2700000,1:31,1800000,Return of the King: The Fall and Rise of Elvis Presley,2024.0,movie,Return of the King: The Fall and Rise of Elvis Presley,Return of the King: The Fall and Rise of Elvis Presley,2024,90,"Documentary,Music"
1502,Carriers,tt0806203,Carriers,No,,2600000,1:25,1800000,Carriers,1000.0,movie,Carriers,Carriers,2009,84,"Adventure,Drama,Horror"
1514,How to Rob a Bank,tt32308418,How to Rob a Bank,Yes,2024-06-05,2600000,1:28,1800000,How to Rob a Bank,2024.0,movie,How to Rob a Bank,How to Rob a Bank,2024,88,"Action,Crime,Documentary"
1538,The House,tt4481514,The House (2017),No,,2600000,1:28,1800000,The House,2017.0,movie,The House,The House,2017,88,"Comedy,Crime"
1529,Reality,tt24068064,Reality (2023),No,,2500000,1:22,1800000,Reality,2023.0,movie,Reality,Reality,2023,83,Drama
1519,Malibu Rescue,tt9228950,Malibu Rescue,Yes,2019-05-13,2100000,1:10,1800000,Malibu Rescue,2019.0,movie,Malibu Rescue,Malibu Rescue,2019,68,"Action,Comedy,Family"
1522,Mighty Morphin Power Rangers: Once & Always,tt23219684,Mighty Morphin Power Rangers: Once & Always,No,2023-04-19,1700000,0:58,1800000,Mighty Morphin Power Rangers: Once & Always,2023.0,movie,Mighty Morphin Power Rangers: Once & Always,Mighty Morphin Power Rangers: Once & Always,2023,55,"Action,Adventure,Drama"
1504,Closing Dynasty,tt21076576,Closing Dynasty,Yes,,500000,0:17,1800000,Closing Dynasty,1000.0,short,Closing Dynasty,Closing Dynasty,2023,17,Short
1515,If Anything Happens I Love You,tt11768948,If Anything Happens I Love You,Yes,2020-11-20,400000,0:13,1800000,If Anything Happens I Love You,2020.0,short,If Anything Happens I Love You,If Anything Happens I Love You,2020,13,"Animation,Drama,Short"
1592,Salaar,tt13927994,Salaar,Yes,,4800000,2:54,1700000,Salaar,1000.0,movie,Salaar,Salaar: Part 1 - Ceasefire,2023,175,"Action,Crime,Drama"
1621,Yeh Jawaani Hai Deewani,tt2178470,Yeh Jawaani Hai Deewani // __ _____ __ ______,No,,4600000,2:40,1700000,Yeh Jawaani Hai Deewani,1000.0,movie,Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani,2013,160,"Comedy,Drama,Musical"
1606,The Place Beyond the Pines,tt1817273,The Place Beyond the Pines,No,,3900000,2:20,1700000,The Place Beyond the Pines,1000.0,movie,The Place Beyond the Pines,The Place Beyond the Pines,2012,140,"Crime,Drama,Thriller"
1620,Wonder Woman,tt0451279,Wonder Woman (2017),No,,3900000,2:21,1700000,Wonder Woman,2017.0,movie,Wonder Woman,Wonder Woman,2017,141,"Action,Adventure,Fantasy"
1556,A Journal for Jordan,tt0995854,A Journal for Jordan,No,,3800000,2:11,1700000,A Journal for Jordan,1000.0,movie,A Journal for Jordan,A Journal for Jordan,2021,131,"Drama,Romance,War"
1560,Ambulance,tt4998632,Ambulance (2022),No,,3800000,2:16,1700000,Ambulance,2022.0,movie,Ambulance,Ambulance,2022,136,"Action,Crime,Drama"
1590,Princess Mononoke,tt0119698,Princess Mononoke // _____,No,,3700000,2:14,1700000,Princess Mononoke,1000.0,movie,Princess Mononoke,Mononoke-hime,1997,133,"Adventure,Animation,Fantasy"
41,Seven,tt0114369,Seven (1995),No,,3700000,2:07,1700000,Seven,1995.0,movie,Se7en,Se7en,1995.0,127.0,"Crime,Drama,Mystery"
1578,Indiana Jones and the Last Crusade,tt0097576,Indiana Jones and the Last Crusade,No,,3600000,2:08,1700000,Indiana Jones and the Last Crusade,1000.0,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989,127,"Action,Adventure"
1604,The Notebook,tt0332280,The Notebook (2004),No,,3600000,2:04,1700000,The Notebook,2004.0,movie,The Notebook,The Notebook,2004,123,"Drama,Romance"
1575,Hotel Mumbai,tt5461944,Hotel Mumbai,No,,3500000,2:03,1700000,Hotel Mumbai,1000.0,movie,Hotel Mumbai,Hotel Mumbai,2018,123,"Action,Drama,History"
1617,What Happened to Monday,tt1536537,What Happened to Monday,No,2017-08-18,3500000,2:04,1700000,What Happened to Monday,2017.0,movie,What Happened to Monday,What Happened to Monday,2017,123,"Action,Crime,Fantasy"
40,Indiana Jones and the Raiders of the Lost Ark,tt0082971,Indiana Jones and the Raiders of the Lost Ark,No,,3300000,1:56,1700000,Indiana Jones and the Raiders of the Lost Ark,1000.0,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,1981.0,115.0,"Action,Adventure"
1562,Bionic,tt16427902,Bionic // Binicos,Yes,2024-05-29,3200000,1:51,1700000,Bionic,2024.0,movie,Bionic,Biônicos,2024,110,"Action,Adventure,Sci-Fi"
1577,Identity Thief,tt2024432,Identity Thief,No,,3200000,1:51,1700000,Identity Thief,1000.0,movie,Identity Thief,Identity Thief,2013,111,"Comedy,Crime,Drama"
1612,Tyler Perry's The Single Moms Club,tt2465140,Tyler Perry's The Single Moms Club,No,,3200000,1:51,1700000,Tyler Perry's The Single Moms Club,1000.0,movie,The Single Moms Club,The Single Moms Club,2014,111,"Comedy,Drama"
1561,"Are You There God? It's Me, Margaret",tt9185206,"Are You There God? It's Me, Margaret",No,,3100000,1:47,1700000,"Are You There God? It's Me, Margaret",1000.0,movie,"Are You There God? It's Me, Margaret.","Are You There God? It's Me, Margaret.",2023,106,"Comedy,Drama,Family"
1564,Case 39,tt0795351,Case 39,No,,3100000,1:51,1700000,Case 39,1000.0,movie,Case 39,Case 39,2009,109,"Horror,Mystery,Thriller"
1571,Everything About My Wife,tt35587095,Everything About My Wife,No,,3100000,1:50,1700000,Everything About My Wife,1000.0,movie,Everything About My Wife,Everything About My Wife,2025,110,"Comedy,Romance"
1572,Fall,tt15325794,Fall (2022),No,,3100000,1:47,1700000,Fall,2022.0,movie,Fall,Fall,2022,107,"Action,Thriller"
1580,Inheritance,tt30494979,Inheritance (2020),No,,3100000,1:51,1700000,Inheritance,2020.0,movie,Inheritance,Inheritance,2024,85,Documentary
